location_name,sex_name,years,mean
Trinidad and Tobago,Males,years,10.93
Trinidad and Tobago,Females,years,11.16
Trinidad and Tobago,Both,years,11.04
Tropical Latin America,Males,years,6.84
Tropical Latin America,Females,years,7.3
Tropical Latin America,Both,years,7.07
Tunisia,Males,years,8.22
Tunisia,Females,years,5.31
Tunisia,Both,years,6.76
Turkey,Males,years,8.47
Turkey,Females,years,6.2
Turkey,Both,years,7.33
Turkmenistan,Males,years,12.17
Turkmenistan,Females,years,11.62
Turkmenistan,Both,years,11.9
Uganda,Males,years,6.71
Uganda,Females,years,3.93
Uganda,Both,years,5.32
Ukraine,Males,years,13.5
Ukraine,Females,years,13.7
Ukraine,Both,years,13.6
United Arab Emirates,Males,years,9.99
United Arab Emirates,Females,years,7.78
United Arab Emirates,Both,years,8.88
United Kingdom,Males,years,14.04
United Kingdom,Females,years,14.19
United Kingdom,Both,years,14.11
United States,Males,years,14.72
United States,Females,years,14.84
United States,Both,years,14.78
Uruguay,Males,years,9.89
Uruguay,Females,years,10.67
Uruguay,Both,years,10.28
Uzbekistan,Males,years,12.3
Uzbekistan,Females,years,11.92
Uzbekistan,Both,years,12.11
Vanuatu,Males,years,8.1
Vanuatu,Females,years,7.18
Vanuatu,Both,years,7.64
Venezuela,Males,years,9.05
Venezuela,Females,years,9.16
Venezuela,Both,years,9.1
Vietnam,Males,years,9.06
Vietnam,Females,years,7.73
Vietnam,Both,years,8.4
Yemen,Males,years,4.14
Yemen,Females,years,0.96
Yemen,Both,years,2.55
Zambia,Males,years,7.86
Zambia,Females,years,5.42
Zambia,Both,years,6.64
Zimbabwe,Males,years,8.74
Zimbabwe,Females,years,7.1
Zimbabwe,Both,years,7.92
